Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:53:29, 53.193878, -4.216084, 50.17,  59508.00, 54, 0, 16.85, 1
2017/11/16, 14:53:30, 53.193981, -4.215867, 53.66,  57780.00, 53, 0, 18.44, 1
2017/11/16, 14:53:31, 53.194088, -4.215683, 56.74,  54144.00, 49, 0, 17.08, 1
2017/11/16, 14:53:32, 53.194195, -4.215531, 59.43,  52416.00, 43, 0, 15.62, 1
2017/11/16, 14:53:33, 53.194313, -4.215404, 61.99,  50508.00, 35, 0, 15.61, 1
2017/11/16, 14:53:34, 53.194427, -4.215302, 64.05,  49392.00, 31, 0, 14.38, 1
2017/11/16, 14:53:35, 53.194553, -4.215266, 65.76,  47988.00, 24, 0, 14.21, 1
2017/11/16, 14:53:36, 53.194645, -4.215271, 67.23,  45612.00, 16, 0, 10.24, 1
2017/11/16, 14:53:38, 53.194786, -4.215322, 68.78,  40284.00, 6, 0, 16.04, 1
2017/11/16, 14:53:40, 53.194736, -4.216136, 69.44,  53280.00, 291, 0, 54.51, 1
2017/11/16, 14:53:42, 53.194492, -4.216721, 69.76,  65880.00, 249, 0, 47.49, 1
2017/11/16, 14:53:44, 53.194187, -4.217191, 71.64,  70308.00, 234, 0, 46.16, 1
2017/11/16, 14:53:45, 53.194073, -4.217709, 70.45,  65052.00, 242, 0, 36.76, 
2017/11/16, 14:53:46, 53.194069, -4.217887, 70.78,  59940.00, 247, 0, 11.87, 1
2017/11/16, 14:53:48, 53.194145, -4.218098, 70.15,  46404.00, 259, 0, 16.40, 1
2017/11/16, 14:53:49, 53.194283, -4.218125, 70.08,  33624.00, 271, 0, 15.45, 1
2017/11/16, 14:53:50, 53.194527, -4.218095, 69.27,  45936.00, 314, 0, 27.21, 1
2017/11/16, 14:53:51, 53.194878, -4.217956, 70.26,  69876.00, 349, 0, 40.11, 
2017/11/16, 14:53:52, 53.195198, -4.217741, 71.07,  83952.00, 7, 0, 38.36, 1
2017/11/16, 14:53:54, 53.195557, -4.217517, 72.18,  74952.00, 15, 0, 42.62, 1
2017/11/16, 14:53:55, 53.195751, -4.217438, 71.45,  74952.00, 11, 0, 22.20, 1
2017/11/16, 14:53:56, 53.195923, -4.217344, 72.09,  71964.00, 13, 0, 20.12, 1
2017/11/16, 14:53:58, 53.196243, -4.217136, 73.18,  67248.00, 19, 0, 38.18, 1
2017/11/16, 14:54:00, 53.196522, -4.216857, 76.01,  62352.00, 31, 0, 36.16, 1
2017/11/16, 14:54:01, 53.196648, -4.216684, 76.19,  62568.00, 32, 0, 18.14, 1
